Nazwisko aktualne,Liczba
PODGÓRSKI,8962
BANAŚ,8955
ZAWADA,8896
DROZD,8889
KLIMCZAK,8874
ROSIŃSKI,8838
ŻURAWSKI,8823
BIENIEK,8773
CYBULSKI,8757
GÓRKA,8752
GODLEWSKI,8708
GRUSZKA,8704
KUŚ,8613
PRZYBYŁA,8603
SKRZYPCZAK,8577
GROCHOWSKI,8552
KOMOROWSKI,8533
CICHOŃ,8532
CICHOCKI,8489
KRAWIEC,8460
PTAK,8453
PANEK,8425
SIWEK,8409
GIL,8385
NIEWIADOMSKI,8364
KULIK,8345
RÓŻAŃSKI,8305
MIELCZAREK,8289
WINIARSKI,8254
GRACZYK,8213
KONOPKA,8202
GRZYB,8170
SŁOWIK,8160
KRZYŻANOWSKI,8154
KŁOS,8147
FILIPIAK,8131
SZCZEPANIK,8122
ZARZYCKI,8095
STAŃCZYK,8073
ANTCZAK,8042
LEŚNIEWSKI,8040
TOKARSKI,7997
SZYMCZYK,7956
ZAREMBA,7952
KACZYŃSKI,7940
STRZELECKI,7930
MŁYNARCZYK,7929
MIKOŁAJCZAK,7924
CIEŚLA,7897
SKOWRON,7867
MAĆKOWIAK,7861
BUCZEK,7832
GĄSIOR,7802
BIERNAT,7761
JUREK,7760
JANUS,7757
BARTKOWIAK,7734
SZOSTAK,7732
JANIAK,7715
BOGUSZ,7683
SZCZYGIEŁ,7680
PAŁKA,7649
WĘGRZYN,7632
KULA,7629
KALETA,7604
FRĄCZEK,7595
DŁUGOSZ,7593
KOSTRZEWA,7589
GAWRON,7585
BANASIAK,7565
BARTCZAK,7563
KUCHARCZYK,7556
KSIĄŻEK,7554
RAKOWSKI,7549
KUBIK,7538
RÓŻYCKI,7489
SIENKIEWICZ,7473
RZEPKA,7468
KRÓLIKOWSKI,7425
GAWLIK,7386
BAGIŃSKI,7360
DOBOSZ,7316
MALEC,7316
ZARĘBA,7287
ROGALA,7271
ROGALSKI,7265
TRZCIŃSKI,7261
ŻEBROWSKI,7258
WITCZAK,7254
TKACZYK,7244
HAJDUK,7180
GAWROŃSKI,7168
KISIEL,7146
ROJEK,7135
GRZEGORCZYK,7115
RYBICKI,7084
CICHY,7078
WOLNY,7075
TROJANOWSKI,7073
MIKULSKI,7060
FRANKOWSKI,7053
MALISZEWSKI,7038
NAWROT,6973
WĄSIK,6968
DUDZIŃSKI,6967
RADOMSKI,6967
LACH,6952
FRĄCKOWIAK,6940
KACZOROWSKI,6908
BOREK,6882
FIJAŁKOWSKI,6844
GAŁĄZKA,6815
BIAŁAS,6800
GRZESIAK,6795
ŚLUSARCZYK,6778
MIKA,6777
BOGUCKI,6743
SOKÓŁ,6724
PAWELEC,6722
STEC,6722
CZYŻEWSKI,6716
WNUK,6710
ZABOROWSKI,6689
ROSIAK,6686
LIPSKI,6680
WIĘCKOWSKI,6663
WOJTCZAK,6660
KWAŚNIEWSKI,6654
WALKOWIAK,6652
KMIECIK,6640
DĄBEK,6621
WÓJCICKI,6606
BOCHENEK,6589
KOŁODZIEJSKI,6546
BURZYŃSKI,6511
JANAS,6501
DRZEWIECKI,6492
PIETRAS,6486
KRYSIAK,6471
LASOTA,6453
ZYGMUNT,6452
JUSZCZAK,6445
CEBULA,6441
ŻMUDA,6435
MROCZEK,6415
KARWOWSKI,6408
SKRZYPEK,6389
CYGAN,6385
JĘDRZEJCZYK,6377
WROŃSKI,6367
DĘBOWSKI,6347
GRUSZCZYŃSKI,6342
FILIPEK,6339
ŁUKASIEWICZ,6336
PASTERNAK,6334
MISIAK,6333
KARAŚ,6329
GAWEŁ,6320
FLIS,6318
MASŁOWSKI,6306
ŁAPIŃSKI,6304
SZAFRAŃSKI,6293
KAŁUŻA,6289
BUJAK,6280
ZAJĄCZKOWSKI,6280
PIÓRKOWSKI,6248
PIWOWARCZYK,6245
BIELAWSKI,6226
FALKOWSKI,6225
JAGODZIŃSKI,6186
BOROWIEC,6182
CZAPLA,6181
JAGIEŁŁO,6170
JĘDRZEJCZAK,6169
SKIBIŃSKI,6165
KAŁUŻNY,6164
KRAKOWIAK,6164
ZIELONKA,6142
GUTOWSKI,6139
ŁUKASZEWSKI,6132
KUBACKI,6118
