Nazwisko aktualne,Liczba
KUKOŁKA,18
KULBAS,18
KULCAK,18
KULCZYC,18
KULIBAB,18
KULISZENKO,18
KULJON,18
KULMAGA,18
KUMEJKO,18
KUNC-JASIŃSKI,18
KUNETS,18
KUNSTMAN,18
KUNT,18
KUNTSEVICH,18
KUNZA,18
KURCZYN,18
KURDZIŃSKI,18
KURLET,18
KURO,18
KURYLKO,18
KURYSZKO,18
KURZIDEM,18
KUSHCHENKO,18
KUSYI,18
KUSZKO,18
KUSZNIK,18
KUSZTAN,18
KUŚPIET,18
KUZMYCZ,18
KUZYSHYN,18
KUŹNIECKI,18
KUŻAWSKI,18
KÜÇÜK,18
KWEISER,18
KWIECIARZ,18
LABENC,18
LAKHNO,18
LALASZEWSKI,18
LAMONT,18
LANCKI,18
LANGHAMER,18
LANGKAMER,18
LANKOWSKI,18
LANOWSKI,18
LAPKA,18
LAPOŃ,18
LASHCHENKO,18
LASKAWIEC,18
LASZENKO,18
LATARNIK,18
LATIF,18
LEBIEDOWSKI,18
LECYBIL,18
LEHRMAN,18
LEIHS,18
LEIMAN,18
LEJDWARD,18
LEKOSZ,18
LEKSAN,18
LELEJ,18
LELIUKH,18
LELWIC,18
LEMANSKI,18
LEMIERSKI,18
LEMSKI,18
LEONARDI,18
LERCEL,18
LESIEWSKI,18
LESKIW,18
LESKOWICZ,18
LESNOW,18
LESSER,18
LESZKÓW,18
LEŚNICZY,18
LEWCZUK VEL LEONIUK,18
LEWCZYSZYN,18
LEWDOROWICZ,18
LEZIANKA,18
LEŹNIEWICZ,18
LĘGIEĆ,18
LIBSZ,18
LIJECKI,18
LIKITARCZUK,18
LIMANOWICZ,18
LINAK,18
LINCHARD,18
LINGOWSKI,18
LISICZYŃSKI,18
LITOWCZENKO,18
LIUBCHYK,18
LOCHNO,18
LOHMAN,18
LOKSZTAJN,18
LOPATIUK,18
LORREK,18
LUCHAK,18
LUGOWSKI,18
LUKIIANCHUK,18
LUKOSCHEK,18
LUNDA,18
LUPERTOWICZ,18
LUTOBARSKI,18
LUZHETSKYI,18
LYKOV,18
ŁABZA,18
ŁAPECIŃSKI,18
ŁAPOW,18
ŁAPYSZ,18
ŁASZOWSKI,18
ŁAWKIEL,18
ŁAZIENKIEWICZ,18
ŁEŃ,18
ŁEPKOWICZ,18
ŁĘŻYK,18
ŁOGASZ,18
ŁOGWINOWICZ,18
ŁOHA,18
ŁOJ,18
ŁOJCZYK,18
ŁOJKUC,18
ŁOKCEWICZ,18
ŁOSZAJĆ,18
ŁOTACH,18
ŁUCZKIW,18
ŁUKACZYN,18
ŁUPINOWICZ,18
ŁYBA,18
ŁYSAKIEWICZ,18
ŁYSAŃCZUK,18
ŁYSYK,18
ŁYZAK,18
MACHONIAK,18
MACICKI,18
MACIELA,18
MACIJOWSKI,18
MACIUŃSKI,18
MACKIEŁO,18
MACNER,18
MAĆKOSZ,18
MADLER,18
MAGAJEWSKI,18
MAGDY,18
MAGIELEWSKI,18
MAGNESKI,18
MAHOROWSKI,18
MAJCHRZAKOWSKI,18
MAJDAJSKI,18
MAKSIUTA,18
MAKULAK,18
MAKURACKI,18
MAKUSZEK,18
MAKUTA,18
MALIKOV,18
MALOTTA,18
MALUTKIEWICZ,18
MAŁCZOK,18
MAŁOSZYCKI,18
MAMCZARSKI,18
MAMROCHA,18
MANCZARSKI,18
MANDELSKI,18
MAŃ,18
MARACHA,18
MARCINKANIEC,18
MARCISZCZUK,18
MARCJANIAK,18
MARCY,18
MARCYCH,18
MARGEL,18
MARGOŃSKI,18
MARGULEWICZ,18
MARKGRAF,18
MARÓLEWSKI,18
MARSZALENKO,18
MARTUSIEWICZ,18
MARYNETS,18
MARYSZEWSKI,18
MARZODKO,18
MASARZ,18
MASHKOV,18
MASHTALIR,18
MASIONIS,18
MASKO,18
MASLIAK,18
MASŁOW,18
MATANIAK,18
MATEŃSKI,18
MATIUKHIN,18
MATRUNIONEK,18
MATSOLA,18
MATTYA,18
MATUSHEVSKYI,18
MAUERSBERG,18
MAZORUK,18
MĄDRACH,18
MEDVETSKYI,18
MEHRHOLZ,18
MEIHSNER,18
MEINUSCH,18
MEIR,18
MEISNEROWSKI,18
MEKITÓW,18
MELOSIK,18
MENDERAK,18
MENDOWICZ,18
MERDAŁA,18
MEREZHKO,18
MESYASZ,18
MĘDAKIEWICZ,18
MĘDERAK,18
MĘKAŁA,18
MICHAL,18
MICHALSZCZAK,18
MICHEREWICZ,18
MIECZAKOWSKI,18
MIECZYCHOWSKI,18
MIEKIN,18
MIELNIKOWSKI,18
MIEMUS,18
MIGALA,18
MIKHAILOV,18
MIKLIN,18
MIKOSZEWSKI,18
MIKSIŃSKI,18
MIŁAWSKI,18
MIMOCHÓD,18
MINARSKI,18
MINASZ,18
MINCZAK,18
MINKNER,18
MIOSCKA,18
MIROCH,18
MIRONKIEWICZ,18
MISAKIEWICZ,18
MISDZIOŁ,18
MISIACZEK,18
MISIĄGIEWICZ,18
MISZAŁKOWSKI,18
MITMAN,18
MITRAS,18
MITTELSTÄDT,18
MIZIN,18
MIZRAHI,18
MLECZYŃSKI,18
MLIŃSKI,18
MŁODORZYNIAK,18
MNISZEWSKI,18
MOCHAL,18
MOCIA,18
MOCOŃ,18
MOGIŁKO,18
MOHYLEVSKYI,18
MOJSEJ,18
MOKUSIŃSKI,18
MOLATTA,18
MOLCAN,18
MOLLA,18
MOMOTOK,18
MONCIBOWICZ,18
MONDER,18
MORCIŃSKI,18
MOREIRA,18
MORGALLA,18
MOSIEJOWSKI,18
MOSZNIŃSKI,18
MOŚKA,18
MOTAWA,18
MOTOCZYŃSKI,18
MOZYRSKI,18
MOŻAROWSKI,18
MOŻARYN,18
MOŻDZEŃ,18
MROZOWICKI,18
MRÓWKO,18
MUCHLEWICZ,18
MUCZEŃSKI,18
MUNIR,18
MUNZ,18
MURAWIK,18
MUSIEJEWSKI,18
MUSZAL,18
MUSZCZYK,18
MUSZYC,18
MYCIEK,18
MYCOŃ,18
MYKOLENKO,18
MYSOR,18
NACULAK,18
NAJAR,18
NAJBORCZYK,18
NAJKO,18
NAJOWICZ,18
NAMOLNIK,18
NASKIEWICZ,18
NASTKIEWICZ,18
NATALICZ,18
NAUDZIDŁO,18
NAWDZIUN,18
NAWROTOWICZ,18
NAYDA,18
NAZARY,18
NEBRATENKO,18
NEDOSHYTKO,18
NEINER,18
NEJBAUER,18
NELC,18
NEMITZ,18
NEMSZ,18
NERLEWSKI,18
NEUMŰLLER,18
NEWALD,18
NGUYEN DUY,18
NICHYPARUK,18
NIECHCAJ,18
NIEDZIOCH,18
NIERNSEE,18
NIESZCZERY,18
NIEŚCIEREWICZ,18
NIEWIDZIAŁA,18
NIEWOJNO,18
NIEZNANY,18
NIKODON,18
NIKOLUK,18
NIKOŁOW,18
NIKOWSKI,18
NIKUŁA,18
NIŚCIORUK,18
NITAK,18
NITSZKE,18
NOACK,18
NOCIŃSKI,18
NOCKOSKI,18
NOJ,18
NOSZYŁA,18
NOWADZKI,18
NOWC,18
NOWICZKOW,18
NOWOWIESKI,18
OBERG,18
OBERMANN,18
OBIGOWSKI,18
OBIOREK,18
OBŁOKOWSKI,18
OBWARZANEK,18
OCELOK,18
OCHERETNYI,18
OCKERT,18
OCYSEK,18
OCZOWIŃSKI,18
ODWROCKI,18
OGORZEJA,18
OKENCZYC,18
OKHOTA,18
OKIŃSKI,18
OKPIS,18
OKRZESIAK,18
OKSIEJCZUK,18
OLASIEWICZ,18
OLEBIŃSKI,18
OLIFER,18
OLIFERCHUK,18
OLIFIRKO,18
OLIIARNYK,18
OLITKOWSKI,18
OLIZARCZYK,18
OLSZYCKA,18
OMIELIANIUK,18
OMUFNER,18
ONDRUCH,18
OPAŁEK,18
OPPENHEIM,18
OPRAWKA,18
OPRYSZAK,18
OPSZAŁA,18
ORABCZUK,18
ORESZUK,18
ORŁAMOWSKI,18
ORUJOV,18
OSAKOWSKI,18
OSIPÓW,18
OSKORIP,18
OSOCHA,18
OSOLINIEC,18
OSSADNIK,18
OSTEN-SACKEN,18
OSTRYCH,18
OSUCHOWICZ,18
OŚRODEK,18
OWCZYNNIKOW,18
OZDAMIROV,18
OZIOM,18
OŹGA,18
PABIJAŃSKI,18
PACHLARZ,18
PAC-POMARNACKI,18
PADŁA,18
PAJAK,18
PAJOWSKI,18
PAKALUK,18
PAKIRSKI,18
PAKULEC,18
PALASIŃSKI,18
PALCHYK,18
PALĘCKI,18
PALINKA,18
PALINKER,18
PAŁAŚ,18
PAŁUK,18
PAŁYSZKO,18
PANAJOTIDIS,18
PANC,18
PANCECHOWSKI,18
PANCERSKI,18
PANENKA,18
PANKRATZ,18
PAPACZEK,18
PAPE,18
PAPKALLA,18
PAPOU,18
PAR,18
PAROSSA,18
PARYZEK,18
PARZELKA,18
PASHUK,18
PASIEBA,18
PASTERZAK,18
PASZKUDZKI,18
PASZYNIN,18
PATENA,18
PATRZYKONT,18
PATSIUK,18
PAUCZUK,18
PAUZDER,18
PAWICZ,18
PAWLUST,18
PAWŁOCIK,18
PAZDAJ,18
PAZDZIOR,18
PCHŁA,18
PECIUCH,18
PEDZIŃSKI,18
PEFLIK,18
PEGA,18
PEITLER,18
PELCEL,18
PELIK,18
PENDZIALEK,18
PENGER,18
PEPRYK,18
PERCHAŁA,18
PERDUN,18
PERERVA,18
PEREVERZIEV,18
PERKMAN,18
PERNAT,18
PETLARSKI,18
PETRANIUK,18
PETROVSKYY,18
PETRYCZKA,18
PETZA,18
PĘPCZYŃSKI,18
PIACKUS,18
PIATKA,18
PIDKOVA,18
PIDŁYPCZAK,18
PIECHANOWSKI,18
PIECIUKONIS,18
PIECZATOWSKI,18
PIENIASZEK,18
PIENKIEWICZ,18
PIENTNIK,18
PIEPENBORN,18
PIERCEWICZ,18
PIERNIKARZ,18
PIETRAJCZUK,18
PIETRONA,18
PIETROŃCZYK,18
PIETSZCZYK,18
PIETWALSKI,18
PIĘKOS,18
PIJUS,18
PIKIES,18
PILICZEWSKI,18
PILIPA,18
PILL,18
PIŁYP,18
PINIŁO,18
PISCHKE,18
PISZNIOK,18
PIWISZKIS,18
PLAKSIN,18
PLANTOWSKI,18
PLĄCZKOWSKI,18
PLENNY,18
PLESKACH,18
PLESKACZYŃSKI,18
PLOTTEK,18
PLUSZCZOK,18
PŁAWSZEWSKI,18
PŁOCIDEM,18
PŁOSZCZAŃSKI,18
PŁUCIEŃCZAK,18
POBUDEK,18
POCHMAN,18
POCHRZĄSZCZ,18
POCHTAR,18
POCIEJUK,18
POCZEKWA,18
POCZWA,18
POĆ,18
PODBIERA,18
PODBRZESKI,18
PODLAŚ,18
PODŁAWIAK,18
PODMOSTKA,18
PODUFAŁY,18
PODUGORNI,18
PODWIN,18
PODWÓJSKI,18
POGIEL,18
POKULNIEWICZ,18
POLEJCZUK,18
POLEŚNY,18
POLICHAŃCZUK,18
POLIUHA,18
POLIZIO,18
POLKIEWICZ,18
POLONIUS,18
POMOGER,18
POMYKAJCZYK,18
PONIŻNIK,18
PONKLAK,18
PONOMAREW,18
PONYCH,18
POPEĆ,18
POPRAWIAK,18
PORADNIK,18
PORALA,18
PORWOLL,18
POSTERNAK,18
POSTLEP,18
POSTOŁA,18
POTARZYŃSKI,18
POTĘCKI,18
POTKOWA,18
POTREPKO,18
POWĘZIAK,18
POWRÓSŁO,18
POŻEGA,18
PÓŁZIĘĆ,18
PRADHAN,18
PRANDOL,18
PRANKIEWICZ,18
PRASZMO,18
PRAŚKIEWICZ,18
PREISING,18
PRETKIEL,18
PROBANOWSKI,18
PROCHACZEK,18
PROCKÓW,18
PROKIPCHUK,18
PROKOFIJ,18
PROKOPIEC,18
PRONDZYNSKI,18
PROSKURNIA,18
PROTASOV,18
PROTTUNG,18
PRÓCHEŃSKI,18
PRYMACHENKO,18
PRYMUŁA,18
PRZEŁOŻYŃSKI,18
PRZESZAK,18
PRZYBYCKI,18
PRZYLIPIAK,18
PRZYPRAWA,18
PRZYRADZKI,18
PRZYŚLIWSKI,18
PSHYK,18
PSZCZELIŃSKI,18
PUKIANIEC,18
PULTER,18
PUŁJAN,18
PUSTOŁ,18
PUTAS,18
PUTUR,18
PUŻANOWSKI,18
PUŻEWSKI,18
PYJEK,18
PYKIEL,18
PYZIEL,18
RABANIUK,18
RABCHUK,18
RACZKIEL,18
RADJUSZ,18
RADLOK,18
RADYSZKIEWICZ,18
RADZEVICH,18
RADZIAŁOWSKI,18
RAMIREZ,18
RAMLOW,18
RAPIJ,18
RATUSZEK,18
RDZANOWSKI,18
REBANDEL,18
REDKE,18
REDLER,18
REGGEL,18
REGIEWICZ,18
REISKY,18
REJZLER,18
REKOS,18
REM,18
RENUSCH,18
RESHEF,18
RESIUŁA,18
RESTERNIAK,18
RESZOTA,18
REŚKO,18
REUTOWICZ,18
REZLERSKI,18
RĘDZI,18
RIABENKO,18
RILLING,18
RINTZ,18
RODZIANKO,18
ROELLE,18
ROHALSKYI,18
ROJANOWSKI,18
ROLKO,18
ROLLAUER,18
ROMANCZYK,18
ROMANTSOV,18
ROMINKIEWICZ,18
RONC,18
ROR,18
ROSEGER,18
ROSIEJAK,18
ROSOLOVSKYI,18
ROTBART,18
ROTMANN,18
ROWEDA,18
ROWEK,18
ROZALA,18
ROZENBLUM,18
ROZENKOWSKI,18
ROZINSKI,18
ROZLAŁ,18
ROZMARNIEWICZ,18
ROŹNIECKI,18
RÓŻYŁA,18
RUBASZEK,18
RUDNIKOWICZ,18
RUDYJ,18
RUDŹKO,18
RUGA,18
RUHS,18
RUMIEJOWSKI,18
RUNCE,18
RUNTZ,18
RURDA,18
RUSIKIEWICZ,18
RUSLAN,18
RUSOWSKI,18
RUSZAT,18
RUŻYK,18
RYBINKOWSKI,18
RYC,18
RYCHLEŃSKI,18
RYDRYCH,18
RYMARZAK,18
RYMCZAK,18
RYST,18
RYŚCIUK,18
RYTAROWSKI,18
RYZIO,18
RZEPOWSKI,18
RZESIEWSKI,18
RZESOŚ,18
SABOROWSKI,18
SADOSKI,18
SADUŁA,18
SADYŃ,18
SADŹ,18
SAHS,18
SAJDUTKO,18
SAKHARUK,18
SAKOVSKYI,18
SALATYŃSKI,18
SALAVEI,18
SALIWON,18
SALM,18
SALWECKI,18
SAŁADAJ,18
SAŁAJSKI,18
SAMAL,18
SAMARIN,18
SAMIŃSKI,18
SAMOIŁ,18
SAMUS,18
SANTORO,18
SANTOROWSKI,18
SAPIOŁKA,18
SAPUŃ,18
SARAŃCZAK,18
SARBICKI,18
SARCZYŃSKI,18
SARTOWICZ,18
SASADEUSZ,18
SASANOWICZ,18
SASIMOWICZ,18
SASSI,18
SAVRANSKYI,18
SCENCELEK,18
SCHLAGE,18
SCHLIEWE,18
SCHNOBER,18
SCHOENROCK,18
SCHŐNWALD,18
SCHÖNWALD,18
SCHRAMOWSKI,18
SCHWIERKOTT,18
SCIĄŻKO,18
SCZEDZINA,18
SELVARAJ,18
SEMANYSZYN,18
SEMENIV,18
SEMOTIUK,18
SENCZYK,18
SERDACKI,18
SERDYNIECKI,18
SEREBRIAKOV,18
SERVETNYK,18
SEWERYŚ,18
SĘKUL,18
SHADRIN,18
SHAFRAN,18
SHAHBAZYAN,18
SHAKHRAI,18
SHALAMAI,18
SHAMIR,18
SHAPKA,18
SHEUCHYK,18
SHKABARA,18
SHKOLA,18
SHLIAKHOV,18
SHPAKOUSKI,18
SHTUKA,18
SHUBA,18
SHUKLA,18
SIARZYŃSKI,18
SIEBER,18
SIEDACZ,18
SIEDNIENKO,18
SIEDOV,18
SIEDY,18
SIELACHOWSKI,18
SIEMIERZEWICZ,18
SIEMIESZ,18
SIENIATYCKI,18
SIENIUC,18
SIERCHUŁA,18
SIEWODNIK,18
SIGMUNDZIK,18
SIKHARULIDZE,18
SIKOMAS,18
SINDA,18
SINIUK,18
SIODLARZ,18
SIUTYŁA,18
SIWADŁO,18
SIWOR,18
SIZOV,18
SKALSKYI,18
SKARB,18
SKIRECKI,18
SKLENARSKI,18
SKLIŃSKI,18
SKONCEJ,18
SKORKO,18
SKOROBOHATOV,18
SKOWERENDA,18
SKRABAN,18
SKROJNY,18
SKRYPETS,18
SKRZEPIŃSKI,18
SKULINA,18
SKURŁAT,18
SŁABECKI,18
SŁOMIAŃSKI,18
SŁOWECKI,18
SMARSLIK,18
SMAŻYCH,18
SMEJKAL,18
SMELICH,18
SMIKIEL,18
SMOLAŃCZUK,18
SMOLAWA,18
SMULSKYI,18
SMUTNICKI,18
SMYTKIEWICZ,18
SOBA,18
SOBALCZYK,18
SOBIBOROWICZ,18
SOBIERA,18
SOBIESZAK,18
SOBOCIAK,18
SOCZALSKI,18
SOKAŃSKI,18
SOLODUKHA,18
SOŁODUCHO,18
SONGAJŁO,18
SOPÓR,18
SORKO,18
SOVIAK,18
SOWIER,18
SÖNMEZ,18
SPENTANY,18
SPILNYK,18
SPINNER,18
SPITALNY,18
SPLEŚNIAK,18
SPLIT,18
SPODYNIUK,18
SPRĘGA,18
SPRONCEL,18
SPULA,18
SROKOCZ,18
STABULANIEC,18
STADNIKIEWICZ,18
STAHN,18
STANGRICKI,18
STANKOV,18
STANTKE,18
STARODAJ,18
STARODUBETS,18
STASEWICZ,18
STASIUKEVICH,18
STASZKOP,18
STAŚKIELUNAS,18
STAVYTSKYI,18
STĄCHÓR,18
STĄŻEWSKI,18
STEFANKIV,18
STEFENS,18
STELIŃSKI,18
STELLIGA,18
STEMBOROWSKI,18
STEMPORZECKI,18
STEPIEN,18
STIBURSKI,18
STIEL,18
STOHNII,18
STOLIARENKO,18
STOROZH,18
STRAKHOV,18
STRAWSKI,18
STRELKE,18
STRELNIKOV,18
STRUBLEWSKI,18
STRUŻANOWSKI,18
STRYCHAR,18
STRYCHOŃ,18
STRYCZEWSKI,18
STRZELKOWSKI,18
STRZEMBECZNY,18
STUDZIEŃSKI,18
STUKALO,18
STWIERTNIA,18
STYBER,18
STYCUNÓW,18
SUBERNAT,18
SUBKO,18
SUCHART,18
SULIBA,18
SULIN,18
SULIR,18
SULMOWSKI,18
SUŁAWKO,18
SUMKOWSKI,18
SUSABOWSKI,18
SUSZEWSKI,18
SUSZWALAK,18
SÜSS,18
SWĘDER,18
SWIRYDZIUK,18
SWOCZYK,18
SYCHEL,18
SYĆKO,18
SYDO,18
SYGAŁA,18
SYMCZYK,18
SYNARECKI,18
SYNDERECKI,18
SYNOWEĆ,18
SYTNIKOV,18
SZABŁOŃSKI,18
SZAGŻDOWICZ,18
SZAJKIEWICZ,18
SZAJWA,18
SZAKODYN,18
SZAŁAJEWSKI,18
SZAMATUŁA,18
SZAMIK,18
SZANFEBER,18
SZAPOWAŁOW,18
SZARAFAN,18
SZARZEWSKI,18
SZAURO,18
SZCZEGURA,18
SZCZERBANOWICZ,18
SZCZOTKARZ,18
SZCZUBIAŁKA,18
SZCZYSZCZAJ,18
SZEJNO,18
SZEJNOWSKI,18
SZELENGOWICZ,18
SZEMITKO,18
SZENDO,18
SZENDRAK,18
SZENIMAN,18
SZEPLEWICZ,18
SZEREMIOTA,18
SZEREMIUK,18
SZEWCZYKIEWICZ,18
SZEWEŃKO,18
SZICE,18
SZIR,18
SZKIELNIUK,18
SZKIŁONDŹ,18
SZKODLARSKI,18
SZKOŁDA,18
SZLEGIEL,18
SZLENZAK,18
SZLOMSKI,18
SZMANKOWSKI,18
SZNELIŃSKI,18
SZOPIAN,18
SZORN,18
SZORNEL,18
SZOTKA,18
SZPARUG,18
SZPERZYŃSKI,18
SZPYRKO,18
SZREITER,18
SZREJNA,18
SZRÓBKA,18
SZTADHAUS,18
SZTAJNBERG,18
SZTAMBEREK,18
SZTEBEL,18
SZTÓJ,18
SZTRĄPF,18
SZTUŃ,18
SZTYCHMILER,18
SZUCHOWSKI,18
SZULAWIAK,18
SZULIGOWSKI,18
SZUŁOWICZ,18
SZUMBERA,18
SZURMANN,18
SZWAMBERG,18
SZWENGIER,18
SZWERTNER,18
SZWIĘGA,18
SZWOCHER,18
SZWYNGIEL,18
SZYBAKOWSKI,18
SZYBIELOK,18
SZYJANOWICZ,18
SZYMIOŁ,18
SZYSZUK,18
ŚCIBŁO,18
ŚCIECHOWICZ,18
ŚCIESIELSKI,18
ŚLADCZYK,18
ŚLEDZIECKI,18
ŚLEŻUK,18
ŚLICZNIUK,18
ŚLIFARSKI,18
ŚLISZEWICZ,18
ŚLIWARSKI,18
ŚLIWCZAK,18
ŚMIGLICKI,18
ŚNITKOWSKI,18
ŚWIĄTELSKI,18
ŚWIDŁOWSKI,18
ŚWIECIMSKI,18
ŚWIENCICKI,18
ŞAHİN,18
TABAKIERNIK,18
TACIJ,18
TALASZKA,18
TAŁANDZIS,18
TANANA,18
TANNENBAUM,18
TANNENBERG,18
TANTLEWICZ,18
TARAJ,18
TARAKAN,18
TARASIONEK,18
TARASZEWICZ,18
TARGACZ,18
TARMAS,18
TARMASEWICZ,18
TATARINOV,18
TATARUDA,18
TATERRA,18
TAUTZ,18
TEICHNER,18
TELEUCKI,18
TEMPES,18
TEPFER,18
TETERUS,18
THEISS,18
THEUER,18
THIM,18
TIKAŁOWICZ,18
TIMEK,18
TISLER,18
TLOCK,18
TOCZYKA,18
TODORUK,18
TOFIN,18
TOJS,18
TOLIK,18
TOŁEK,18
TOŁKACZEW,18
TOMBOREK,18
TOMESZ,18
TORKONIAK,18
TORWERT,18
TOTOŚKO,18
TOŻEWSKI,18
TRALSKI,18
TRĄBAJŁO,18
TREGER,18
TROCHELEPSZY,18
TROJNER,18
TROL,18
TRONKOWSKI,18
TROSHYN,18
TROŚNIAK,18
TRUKAŁA,18
TRUSZCZAK,18
TRYNKOŚ,18
TRYNKUS,18
TRYPLER,18
TRZEPAŁKO,18
TRZĘSALA,18
TRZĘSIAK,18
TRZYNIEC,18
TSAPENKO,18
TULIGŁOWICZ,18
TUŁAZIŃSKI,18
TUMANKIEWICZ,18
TUMASZYK,18
TUNDYS,18
TUPIEKA,18
TUSKI,18
TWORZYK,18
TYCHOLIS,18
TYDRYCH,18
TYKHOMYROV,18
TYMINSKYI,18
TYMONIUK,18
TYROLA,18
TYTULSKI,18
TYZLER,18
UDALOV,18
UDERKIEWICZ,18
UDRYCKI,18
UGODA,18
UJEC,18
UKRZEWSKI,18
ULASIEWICZ,18
ULIANIUK,18
ULUSZCZAK,18
UNGLIK,18
UNICKI,18
UNICZKO,18
UNTERBERGER,18
URAMEK,18
USEL,18
USIARCZYK,18
USSARZ,18
USZKOWSKI,18
UŻAK,18
VABISHCHEVICH,18
VAKALIUK,18
VARENYTSIA,18
VARYVODA,18
VASENKO,18
VASKIVSKYI,18
VAVILOV,18
VELHAN,18
VEREMII,18
VERETIUK,18
VIKHOT,18
VINIARSKYI,18
VINNICHENKO,18
VIRK,18
VITIV,18
VOROSHYLOV,18
VRABIE,18
VYKHOPEN,18
VYSOCHAN,18
WACŁAWIEC,18
WACZKO,18
WACZUR,18
WAGANIAK,18
WAGOWSKI,18
WAJSS,18
WAKOŃ,18
WALĘDZKI,18
WALIO,18
WALLACE,18
WAŁPUSKI,18
WAMKE,18
WAMPOSZYC,18
WANDKE,18
WANDZIURA,18
WANKEWYCZ,18
WAŃ,18
WARDZINSKI,18
WARPACHOWSKI,18
WARSZYWKA,18
WARZBIŃSKI,18
WASIELESKI,18
WASIELEWICZ,18
WASILISZYN,18
WAWROŃSKI,18
WAWRZESTA,18
WAWRZEWSKI,18
WĄTRUCKI,18
WDOWIUK,18
WEBERBAUER,18
WEBS,18
WEDLARSKI,18
WEGIENEK,18
WEINBRENNER,18
WEISSENSTEINER,18
WEITUSCHAT,18
WEJCHENIG,18
WEJCHINAND,18
WEŁNINSKI,18
WENCZYŃSKI,18
WENER,18
WENSŁAWSKI,18
WESOŁKIN,18
WETULANI,18
WEWIÓROWSKI,18
WEYGAND,18
WĘCKO,18
WĘDER,18
WĘTŁY,18
WIARUS,18
WICHOT,18
WIDEMAN,18
WIDŁASZEWSKI,18
WIDRINSKI,18
WIECZFIŃSKI,18
WIEDROWICZ,18
WIELINIEC,18
WIELONKIEWICZ,18
WIENIARSKI,18
WIERADZKI,18
WIERCHOŁA,18
WIERCIK,18
WIEREMIEJEWICZ,18
WIEREMIEJKO,18
WIEROMIEJCZYK,18
WIEROWSKI,18
WIERSZEL,18
WIERZIMOK,18
WIEŹLAK,18
WIGURSKI,18
WILAN,18
WILLAMOWSKI,18
WINDYKA,18
WINZER,18
WIOR,18
WIÓRGOWSKI,18
WIRCHAŁ,18
WIRPSZO,18
WIRSZYC,18
WISOCKI,18
WITAROWSKI,18
WITTNER,18
WITTON,18
WLEKLINSKI,18
WŁADACZYŃSKI,18
WŁASZCZYK,18
WŁASZYNOWICZ,18
WŁODNO,18
WŁOSAK,18
WŁÓCZKA,18
WNĘTOWSKI,18
WODOLSKI,18
WODZIAŃSKI,18
WOITCZYK,18
WOJCZEWSKI,18
WOJDYNIAK,18
WOJNIŁO,18
WOJTONIS,18
WOJTYŻAK,18
WOLENTEK,18
WOLER,18
WOŁĄS,18
WOŁOCZKO,18
WORONICKI,18
WOROŃCZUK,18
WOROTNIK,18
WÓDARSKI,18
WÓJCIO,18
WRÓŻYNA,18
WSZYTKO,18
WŚCIBSKI,18
WUCIŃSKI,18
WUŻYŃSKI,18
WYCZANOWSKI,18
WYDEF,18
WYGADAŃCZUK,18
WYPYRSZCZYK,18
WYRAŹNY,18
WYSŁUGOCKI,18
WYSYPOŁ,18
YAKIBCHUK,18
YAKUBOUSKI,18
YALCIN,18
YALOVENKO,18
YALOVYI,18
YARISH,18
YARUTA,18
YERMOLAIEV,18
YEVSIUKOV,18
YEVTUSHOK,18
YOSHIDA,18
ZADEREI,18
ZADO,18
ZADUROWICZ,18
ZADYGOWICZ,18
ZAGERT,18
ZAGRACKI,18
ZAGRÓDKA,18
ZAJADŁY,18
ZAJGIER,18
ZAJNOWSKI,18
ZAJUTRO,18
ZAKHARAU,18
ZALASEK,18
ZALESKI-KORZIUK,18
ZALICKI,18
ZALIZKO,18
ZAŁOBA,18
ZAŁUBINIAK,18
ZAMERLUK,18
ZAMOJDA,18
ZANIKOWSKI,18
ZANTARA,18
ZAPEŃSKI,18
ZAPF,18
ZAPRUTKO,18
ZARANKO,18
ZARAZKA,18
ZATKALIK,18
ZAVALII,18
ZAVOROTNYI,18
ZAWIEŚNICKI,18
ZBOROMIRSKI,18
ZBOROVSKYI,18
ZBOŻNY,18
ZDANEVYCH,18
ZDĘGA,18
ZDRADEK,18
ZELENAY,18
ZELICH,18
ZELISZEWSKI,18
ZELMANOWICZ,18
ZEMBALSKI,18
ZEMLIAK,18
ZERBA,18
ZERKOWSKI,18
ZERZON,18
ZĘBOL,18
ZHURAKOVSKYI,18
ZIABLICKI,18
ZIELNICKI,18
ZIEMBAL,18
ZINEVYCH,18
ZIOMBRO,18
ZIOMBROWSKI,18
ZIORKOWSKI,18
ZŁOTORZYCKI,18
ZMECZEROWSKI,18
ZMORKA,18
ZOLOTOV,18
ZOMBIRT,18
ZOPORA,18
ZOSSEL,18
ZUBKOW,18
ZUKOWSKI,18
ZUMER,18
ZUŹLIK,18
ZWIEREW,18
ZWIRECKI,18
ZWITEK,18
ZYBERSKI,18
ZYCHMAN,18
ŻAKON,18
ŻAŁOBNIAK,18
ŻARLAK,18
ŻARNIAK,18
ŻAROW,18
ŻEBRUCKI,18
ŻELEJKO,18
ŻELEŃSKI,18
ŻELIŹNIAK,18
ŻENTAŁA,18
ŻENTEL,18
ŻETECKI,18
ŻODŹ,18
ŻUBRYNOWICZ,18
ŻURAWOWICZ,18
ŻYBULA,18
ŻYDLEWICZ,18
ŻYDOWIEC,18
ŻYTNIKOWSKI,18
ŻYWUCKI,18
ABGAROWICZ,17
ABIDI,17
ABRAMCIÓW,17
