Imię,Liczba
ILLIA,1229
DONAT,1219
KLAUS,1191
RAFAEL,1191
MYKHAYLO,1187
SIMON,1171
ENGELBERT,1168
RADOMIR,1167
BRIAN,1164
BAZYL,1148
NARCYZ,1145
LUBOMIR,1138
MOHAMED,1123
ZBYSZKO,1112
WOLFGANG,1111
ROGER,1082
NICHOLAS,1079
ALI,1078
RAJNOLD,1072
WALERY,1061
JONATHAN,1049
TELESFOR,1045
WITALIS,1044
VINCENT,1025
DIETER,1018
RICHARD,1016
KOSMA,1008
RUFIN,1004
VITALIY,1001
SERHIY,994
ANTONIO,975
DENNIS,971
LUDOMIR,965
JANUARY,964
WILLIAM,941
JORDAN,938
YURY,929
BOGUSZ,924
MARKUS,920
ROSTYSLAV,920
DYONIZY,916
OTTO,907
ULADZIMIR,903
FELICJAN,901
LUKAS,895
OREST,891
VITALI,877
OSWALD,875
KRYSTYN,871
ALIAKSEI,854
ERIC,850
PASCAL,847
ANASTAZY,842
WASYL,827
MARIO,824
LUCAS,820
BRAYAN,811
FRANK,808
ANDREW,807
AARON,800
HANS,799
JAMES,792
JUSTYN,788
MAKSIM,788
EWARYST,785
LEONARDO,785
VLADIMIR,785
VIKTAR,780
AURELIUSZ,769
ION,766
DOMINIC,765
DIEGO,764
APOLONIUSZ,759
AHMED,752
DANYLO,752
SERAFIN,745
GWIDON,738
ALLAN,734
JOSEPH,732
MIKHAIL,728
ARTHUR,727
HEINZ,724
BRYAN,723
ERIK,722
CARLOS,716
NAZARII,709
KYRYLO,707
JUREK,700
EDGAR,698
MYKYTA,691
MATTEO,690
YAUHENI,685
CELESTYN,684
NIKITA,683
ALEH,678
AMBROŻY,678
ALESSANDRO,675
EUSTACHY,672
IVO,669
IHAR,668
LUCA,666
OTTON,663
SERGIY,663
POLIKARP,658
FRANCESCO,655
ZACHARIASZ,654
ANATOLI,652
NATHANIEL,646
JUAN,635
MEDARD,634
CHRYSTIAN,631
DAMAZY,625
MANUEL,625
HENNADII,624
JOSE,623
ALEXANDRE,619
REINHARD,614
MAXYMILIAN,612
WIACZESŁAW,609
JAKOB,608
ALEKSANDR,607
AMIR,606
MEHMET,606
HARALD,602
OMAR,602
CEZARIUSZ,591
KARIM,591
ARMIN,590
JOSHUA,588
RYAN,581
ANATOLIY,576
GOTFRYD,576
ROBERTO,575
VALERY,569
MIKALAI,566
DITER,564
GNIEWOMIR,564
LUIS,564
JUSTIN,563
MARKO,563
SATURNIN,558
JOSEF,557
GEORG,552
WIEŃCZYSŁAW,550
COLIN,548
MYROSLAV,547
RONALD,543
IAN,534
SYLWERIUSZ,533
RAJNARD,531
MATTHIAS,529
DANIIL,527
PHILIPP,527
JURAND,524
TRISTAN,522
HRYHORII,521
MUSTAFA,521
RICARDO,521
ANDREA,513
ANGELO,512
IEVGEN,509
BARTEK,506
IWAN,498
KARL,495
FELIX,494
ERICH,491
MAXIM,490
WAWRZYN,490
MODEST,485
KAI,484
HELIODOR,480
MOHAMMAD,477
CRISTIAN,474
JANISŁAW,472
YEHOR,472
IAROSLAV,470
GIUSEPPE,469
KRISTIAN,468
MICHEL,465
IBRAHIM,464
NOAH,460
PABLO,458
DZIANIS,457
WINICJUSZ,457
GIORGI,456
WILLI,453
ERHARD,452
AXEL,451
MOHAMMED,450
CASPER,448
GEORGE,448
MIHAIL,448
MUHAMMAD,442
TOBIAS,442
TYCJAN,442
LIUBOMYR,441
GIOVANNI,440
RUBEN,440
TOM,440
MICHAL,439
SVIATOSLAV,438
GÜNTER,436
HENRY,436
LIAM,435
RADZISŁAW,434
CHRISTOPH,429
MAKARY,427
ULADZISLAU,427
JORGE,426
PATRIK,425
JOEL,424
DYLAN,421
ALBERTO,420
ALEJANDRO,420
JEAN,420
STEVEN,419
MARCUS,418
DAVIDE,416
FABIO,415
MIGUEL,415
VASILE,412
JOHANNES,411
OKTAWIUSZ,410
SERGIO,408
MARC,404
YAN,404
RAMAN,399
MIKE,398
SAMIR,398
GUY,396
SERGEY,396
VALERIY,396
ALEXANDRU,393
KASPIAN,393
EGON,390
SŁAWEK,390
NICOLAE,389
EDUARDO,388
ONUFRY,387
FERNANDO,386
ZACHARY,383
HARRY,381
OLEKSIY,381
TOMAS,380
ALEXANDR,379
WITOSŁAW,379
ERAZM,377
JURIJ,372
MICHELE,372
DAN,371
SERGHEI,369
PEDRO,368
BORIS,367
ANATOLIUSZ,363
LOTAR,363
TIMOTHY,363
ARSEN,361
SYLWIUSZ,355
DAVYD,354
NAPOLEON,354
PHILIPPE,354
ARMAND,353
CHARLES,353
SAMBOR,353
VADZIM,353
WADIM,353
WITALIJ,352
RAYAN,351
FRANCISCO,349
NICO,349
DOBROSŁAW,348
MARTYN,348
DOBIESŁAW,347
TYBERIUSZ,347
KRZESIMIR,345
ETHAN,344
PAOLO,344
RAJNHOLD,344
FEDIR,343
WENANCJUSZ,342
WENDELIN,341
JASON,339
WILIBALD,339
BASTIAN,338
XAWERY,338
FEDERICO,333
