Names,Totals
Scarlet,987915
Maddison,988672
Nylah,989428
Sarai,990181
Regina,990932
Dahlia,991682
Nayeli,992430
Raven,993177
Helen,993922
Adrianna,994665
Averie,995407
Skye,996148
Kelsey,996886
Tatum,997624
Kensley,998361
Maliyah,999097
Erin,999832
Viviana,1000567
Jenna,1001301
Anaya,1002034
Carolina,1002767
Shelby,1003499
Sabrina,1004230
Mikayla,1004960
Annalise,1005689
Octavia,1006416
Lennon,1007140
Blair,1007863
Carmen,1008586
Yaretzi,1009309
Kennedi,1010031
Mabel,1010753
Zariah,1011474
Kyla,1012194
Christina,1012913
Selah,1013632
Celeste,1014350
Eve,1015066
Mckinley,1015782
Milani,1016498
Frances,1017213
Jimena,1017925
Kylee,1018636
Leighton,1019346
Katie,1020053
Aitana,1020757
Kayleigh,1021455
Sierra,1022148
Kathryn,1022840
Rosemary,1023530
Jolene,1024218
Alondra,1024905
Elisa,1025592
Helena,1026273
Charleigh,1026953
Hallie,1027632
Lainey,1028309
Avah,1028984
Jazlyn,1029659
Kamryn,1030333
Mira,1031005
Cheyenne,1031675
Francesca,1032343
Antonella,1033004
Wren,1033665
Chelsea,1034324
Amber,1034982
Emory,1035636
Lorelei,1036290
Nia,1036944
Abby,1037597
April,1038250
Emelia,1038903
Carter,1039555
Aylin,1040206
Cataleya,1040857
Bethany,1041507
Marlee,1042157
Carly,1042804
Kaylani,1043451
Emely,1044097
Liana,1044740
Madelynn,1045382
Cadence,1046021
Matilda,1046656
Sylvia,1047287
Myra,1047916
Fernanda,1048543
Oaklyn,1049170
Elianna,1049796
Hattie,1050420
Dayana,1051042
Kendra,1051664
Maisie,1052286
Malaysia,1052908
Kara,1053524
Katelyn,1054140
Maia,1054754
Celine,1055367
Cameron,1055979
Renata,1056590
Jayleen,1057199
Charli,1057807
Emmalyn,1058415
Holly,1059023
Azalea,1059630
Leona,1060237
Alejandra,1060842
Bristol,1061447
Collins,1062051
Imani,1062654
Meadow,1063256
Alexia,1063856
Edith,1064455
Kaydence,1065054
Leslie,1065651
Lilith,1066248
Kora,1066844
Aisha,1067439
Meredith,1068034
Danna,1068627
Wynter,1069218
Emberly,1069807
Julieta,1070395
Michaela,1070983
Alayah,1071569
Jemma,1072155
Reign,1072741
Colette,1073326
Kaliyah,1073911
Elliott,1074494
Johanna,1075076
Remy,1075657
Sutton,1076238
Emmy,1076818
Virginia,1077396
Briana,1077968
Oaklynn,1078540
Adelina,1079106
Everlee,1079672
Megan,1080236
Angelica,1080798
Justice,1081359
Mariam,1081920
Khaleesi,1082480
Macie,1083038
Karsyn,1083595
Alanna,1084151
Aleah,1084707
Mae,1085263
Mallory,1085819
Esme,1086371
Skyla,1086923
Madilynn,1087474
Charley,1088024
Allyson,1088573
Hanna,1089122
Shiloh,1089670
Henley,1090217
Macy,1090764
Maryam,1091309
Ivanna,1091853
Ashlynn,1092396
Lorelai,1092935
Amora,1093473
Ashlyn,1094011
Sasha,1094547
Baylee,1095082
Beatrice,1095617
Itzel,1096149
Priscilla,1096681
Marie,1097211
Jayda,1097740
Liberty,1098269
Rory,1098798
Alessia,1099326
Alaia,1099850
Janelle,1100374
Kalani,1100897
Gloria,1101418
Sloan,1101937
Dorothy,1102454
Greta,1102971
Julie,1103487
Zahra,1104003
Savanna,1104518
Annabella,1105032
Poppy,1105545
Amalia,1106055
Zaylee,1106563
Cecelia,1107070
Coraline,1107577
Kimber,1108083
Emmie,1108588
Anne,1109092
Karina,1109596
Kassidy,1110100
Kynlee,1110602
Monroe,1111102
Anahi,1111598
Jaliyah,1112094
Jazmin,1112590
Maren,1113085
Monica,1113580
Siena,1114075
Marilyn,1114569
Reyna,1115063
Kyra,1115554
Lilian,1116045
Jamie,1116533
Melany,1117021
Alaya,1117506
Ariya,1117991
Kelly,1118475
Rosie,1118956
Adley,1119436
Dream,1119916
Jaylah,1120396
Laurel,1120876
Jazmine,1121354
Mina,1121831
Karla,1122307
Bailee,1122782
Aubrie,1123256
Katalina,1123728
Melina,1124199
Harlee,1124669
Elliot,1125138
Hayley,1125607
Elaine,1126075
Karen,1126543
Dallas,1127010
Irene,1127474
Lylah,1127938
Ivory,1128400
Chaya,1128861
Rosa,1129322
Aleena,1129782
Braelyn,1130241
Nola,1130699
Alma,1131154
Leyla,1131609
Pearl,1132064
Addyson,1132518
Roselyn,1132972
Lacey,1133425
Lennox,1133878
Reina,1134331
Aurelia,1134781
Noa,1135229
Janiyah,1135676
Jessie,1136123
Madisyn,1136570
Saige,1137017
Alia,1137462
Tiana,1137907
Astrid,1138350
Cassandra,1138793
Kyleigh,1139235
Romina,1139677
Stevie,1140119
Haylee,1140560
Zelda,1141000
Lillie,1141439
Aileen,1141875
Brylee,1142311
Eileen,1142747
Yara,1143181
Ensley,1143613
Lauryn,1144045
Giuliana,1144475
Livia,1144905
Anya,1145334
Mikaela,1145763
Palmer,1146192
Lyra,1146620
Mara,1147048
Marina,1147475
Kailey,1147901
Liv,1148327
Clementine,1148752
Kenna,1149174
Briar,1149594
Emerie,1150013
Galilea,1150432
Tiffany,1150850
Bonnie,1151267
Elyse,1151684
Cynthia,1152100
Frida,1152516
Kinslee,1152932
Tatiana,1153346
Joelle,1153759
Armani,1154171
Jolie,1154583
Nalani,1154995
Rayna,1155407
Yareli,1155819
Meghan,1156230
Rebekah,1156641
Addilynn,1157051
Faye,1157461
Zariyah,1157871
Lea,1158279
Aliza,1158686
Julissa,1159093
Lilyana,1159499
Anika,1159902
Kairi,1160303
Aniya,1160703
Noemi,1161102
Angie,1161498
Crystal,1161893
